Date,MD confirmed,ME confirmed,MD deaths,ME deaths
2021-02-06,362084,41065,7282,635
2021-02-07,363650,41219,7309,636
2021-02-08,364553,41419,7334,637
2021-02-09,365529,41636,7364,640
2021-02-10,366666,41889,7401,642
2021-02-11,367865,42064,7435,642
2021-02-12,368977,42265,7467,644
2021-02-13,370136,42425,7484,648
2021-02-14,370983,42530,7495,650
2021-02-15,371705,42677,7537,650
2021-02-16,372221,42773,7554,652
2021-02-17,372980,42877,7569,655
2021-02-18,373966,43095,7625,656
2021-02-19,374974,43229,7631,657
2021-02-20,375737,43369,7643,659
2021-02-21,376355,43498,7647,659
2021-02-22,376966,43595,7655,659
2021-02-23,377628,43737,7677,661
2021-02-24,378490,43901,7706,678
2021-02-25,379466,44118,7777,701
2021-02-26,380436,44296,7790,702
2021-02-27,381272,44493,7807,703
2021-02-28,382099,44635,7816,704
2021-03-01,382702,44763,7817,705
2021-03-02,383170,44944,7840,705
2021-03-03,383959,45091,7858,707
2021-03-04,384765,45231,7870,707
2021-03-05,385678,45456,7886,707
2021-03-06,386611,45639,7893,707
2021-03-07,387319,45794,7900,708
2021-03-08,388035,45933,7902,708
2021-03-09,388668,46066,7926,723
2021-03-10,389566,46261,7952,723
2021-03-11,390491,46448,7970,723
2021-03-12,391480,46657,7982,723
2021-03-13,392581,46863,7995,724
2021-03-14,393441,47032,7999,724
2021-03-15,394058,47206,8000,725
2021-03-16,394718,47395,8018,725
2021-03-17,395633,47591,8035,725
2021-03-18,396746,47832,8061,727
2021-03-19,397898,48071,8099,728
2021-03-20,399016,48293,8117,728
2021-03-21,400023,48464,8122,729
2021-03-22,400705,48642,8123,729
2021-03-23,401433,48773,8148,731
2021-03-24,402606,48972,8159,731
2021-03-25,403988,49190,8170,731
2021-03-26,405348,49443,8186,731
2021-03-27,406714,49653,8198,736
2021-03-28,408049,49850,8203,736
2021-03-29,409079,50030,8205,736
2021-03-30,409982,50253,8215,738
2021-03-31,411344,50504,8227,743
2021-04-01,412928,50788,8246,744
2021-04-02,414385,51189,8261,744
2021-04-03,415660,51470,8279,745
